"start";"end";"…/Demography/What is your gender?";"…/Demography/What is your age group?";"…/Demography/What is your occupation?";"…/Demography/What's your occupation?";"…/Demography/What is your highest level of education?";"…/Prevalence and Patterns of Phone Use/How often do you check your phone?";"…/Prevalence and Patterns of Phone Use/How many hours do you spend on your phone daily?";"…/Prevalence and Patterns of Phone Use/What do you usually do on your phone? (Select all that apply)";"…/Prevalence and Patterns of Phone Use/How often do you feel distracted by your phone while working, studying or in your Religious place (Church, Mosque, Shrine e.t.c)?";"…/Prevalence and Patterns of Phone Use/How often do you press your phone while walking on the road?";"…/Causes and Triggers of Phone Addiction/What are your main reasons for excessive phone use? (Rank them in order of priority)";"…/Causes and Triggers of Phone Addiction/What triggers you to check your phone? (Rank them in order of priority)";"…/Causes and Triggers of Phone Addiction/Have you ever experienced any of the following symptoms of phone addiction? (Select all that apply)";"…/Social Media Usage/Which social media platforms do you use? (Select all that apply)";"…/Social Media Usage/How many hours do you spend on social media per day?";"…/Social Media Usage/Why do you use social media? (Select all that apply)";"…/Quality of Life and Productivity/Do you feel that your phone use has negatively impacted your quality of life?";"…/Quality of Life and Productivity/Which of the following does your phone usage interfere with? (select all that applies)";"…/Quality of Life and Productivity/Does phone usage interfere with your face-to-face interactions?";"…/Quality of Life and Productivity/How would you categorize your productivity when your phone use is minimized?";"…/Physical and Mental Health Effects/Has phone addiction affected your physical health?";"…/Physical and Mental Health Effects/If yes, how? (Select all that apply)";"…/Physical and Mental Health Effects/How much has phone addiction impacted your mental health? (Scale: 1 = No effect, 5 = Severe effect)";"…/Long-term Impacts and Solutions/Do you feel that your phone use has negatively impacted your long-term goals and aspirations?";"…/Long-term Impacts and Solutions/How important is phone use and social media to your future success?";"…/Long-term Impacts and Solutions/What strategies do you think would help you achieve a healthier balance between phone use and other aspects of your life? (Select all that apply)";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"__version__";"_tags";"_index"
"2025-01-07T11:38:44.915+01:00";"2025-01-07T12:12:35.699+01:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"634941324";"604ad5ac-5481-42d4-82dd-073063ae0dfc";"2025-01-07T11:12:37";"";"";"submitted_via_web";"";"vfnM3bBLQV5au2AYUjSaqj";"";"25"
"2025-01-07T13:07:59.024+01:00";"2025-01-07T13:13:03.785+01:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"634963121";"a0411aa9-49d7-4722-990f-5d9a0f6468b1";"2025-01-07T12:13:08";"";"";"submitted_via_web";"";"vvMC2WaTWGknoJqQKF2M5j";"";"26"
"2025-01-07T17:42:18.253+05:30";"2025-01-07T17:48:02.221+05:30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"634964930";"22cef9b3-9c97-4516-81bc-083298fff62f";"2025-01-07T12:18:03";"";"";"submitted_via_web";"";"vvMC2WaTWGknoJqQKF2M5j";"";"27"
"2025-01-07T16:16:24.313+03:00";"2025-01-07T16:21:33.002+03:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"634984622";"bed614d5-242d-4d22-828b-52d7f7d8c2c7";"2025-01-07T13:21:34";"";"";"submitted_via_web";"";"vvMC2WaTWGknoJqQKF2M5j";"";"28"
"2025-01-07T14:25:48.036+01:00";"2025-01-07T14:43:29.250+01:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"634992026";"a0a85b63-f210-47fd-9b3d-a513171e780d";"2025-01-07T13:43:30";"";"";"submitted_via_web";"";"vvMC2WaTWGknoJqQKF2M5j";"";"29"
"2025-01-07T14:23:25.696+01:00";"2025-01-07T14:47:15.464+01:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"634993053";"9198a5cf-db2f-4f9f-a4fc-79cded133d09";"2025-01-07T13:47:17";"";"";"submitted_via_web";"";"vvMC2WaTWGknoJqQKF2M5j";"";"30"
"2025-01-07T12:12:35.780+01:00";"2025-01-07T15:19:58.470+01:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"635001667";"a74749bd-2f6a-4144-b461-594bd5df07bb";"2025-01-07T14:20:00";"";"";"submitted_via_web";"";"vvMC2WaTWGknoJqQKF2M5j";"";"31"
"2025-01-07T15:09:58.415+01:00";"2025-01-07T15:23:06.812+01:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"635002601";"b38a7f77-da76-409a-acb5-fe38371b9de2";"2025-01-07T14:23:09";"";"";"submitted_via_web";"";"vvMC2WaTWGknoJqQKF2M5j";"";"32"
"2025-01-07T15:18:41.742+01:00";"2025-01-07T17:07:25.136+01:00";"Female";"31-40";"Working professional";"";"Bachelor's degree";"Several times a day";"1–3 hours";"Browsing the internet";"Sometimes";"Rarely";"keeptouch ent work_study anx/stress FOMO";"bd notif str/anx work";"Spending more time on your phone than intended";"Instagram WhatsApp/Messenger";"2-3 hours";"Stay informed about news and current events";"Neutral";"Housekeeping";"Rarely";"Slightly more productive";"No";"";"4";"Neutral";"Not very important";"Implementing phone-free zones or times Engaging in offline hobbies or activities";"635003104";"c6f5f742-5cc0-4990-9827-dd21c85c3eb4";"2025-01-07T14:25:13";"";"";"submitted_via_web";"";"vvMC2WaTWGknoJqQKF2M5j";"";"33"
"2025-01-07T15:23:11.457+01:00";"2025-01-07T15:31:06.812+01:00";"Male";"31-40";"Working professional";"";"Bachelor's degree";"Several times a day";"10-12 hours";"Social media Text messaging Browsing the internet";"Often";"Often";"work_study keeptouch ent anx/stress FOMO";"work bd notif str/anx";"Feeling anxious or uneasy when you can’t use your phone Spending more time on your phone than intended Neglecting work or school responsibilities due to phone use";"Facebook Instagram X (formerly Twitter) TikTok Snapchat WhatsApp/Messenger other";"4-6 hours";"Stay connected with friends and family Stay informed about news and current events Share my own experiences and opinions";"Somewhat agree";"Housekeeping";"Often";"Much more productive";"No";"";"1";"Somewhat disagree";"Very important";"Engaging in offline hobbies or activities";"635004791";"4118d4e8-268e-4f60-a6da-ce38319d3a75";"2025-01-07T14:31:08";"";"";"submitted_via_web";"";"vYuDL7JXtW6G8ytJYY6YoZ";"";"34"
